word	freq	segmented	gloss
ngahmun	5	ngah-mun	get-?
khuapih	5	khuapi-h	city-?
nahath	5	na-hat-h	2SG-strong-?
baalhanan	5	ba-alhanan	owe-?
kicite	5	kici-te	?-PL
meetna	5	meet-na	?-NMLZ
kemsak	5	kem-sak	guard-?
theihnate	5	theih-na-te	know.II-?-PL
leenggahte	5	leeng-gah-te	chariot-?-PL
imnah	5	i-mnah	1PL.INCL-?
ishvi	5	i-shvi	1PL.INCL-?
malkhiel	5	mal-khiel	be.dry-?
vulgawp	5	vul-gawp	flourish-?
khekna	5	khek-na	?-NMLZ
luahna	5	lu-ah-na	head-?-NMLZ
zagui	5	za-gui	hear.I-?
leenggahtui	5	leeng-gahtui	chariot-?
anlimte	5	a-nlim-te	3SG-?-PL
tuletate	5	tuleta-te	?-PL
sawn	5	sa-wn	flesh-?
anthul	5	a-nthul	3SG-?
gannote	5	ganno-te	?-PL
vilna	5	vil-na	?-NMLZ
khamzah	5	kham-zah	forbid-?
omzah	5	om-zah	exist-?
khahkhiatna	5	khah-khiat-na	choke-?-NMLZ
haksate	5	haksat-e	difficult-?
siangthosakin	5	siangtho-sakin	holy-?
neisa	5	nei-sa	have-?
zawngte	5	za-wng-te	hear.I-?-PL
nawizu	5	na-wizu	2SG-?
nunte	5	nu-n-te	mother-?-PL
kilhnate	5	kilhna-te	?-PL
vailam	5	va-ilam	go.and-?
sikli	5	sik-li	repent-?
khainiangte	5	khai-niang-te	hold-?-PL
topaz	5	to-paz	sit-?
puantungsilhte	5	pua-ntungsilh-te	carry.on.back-?-PL
ekte	5	ek-te	?-PL
haute	5	hau-te	?-PL
saangin	5	sa-angin	flesh-?
kiliahna	5	kiliah-na	?-NMLZ
khuamluzepnate	5	khua-mluzepna-te	town-?-PL
khutdim	5	khut-dim	hand-?
kawnga	5	ka-wnga	1SG-?
attan	5	a-ttan	3SG-?
hihkhak	5	hi-hkhak	be-?
gawhna	5	gawh-na	?-NMLZ
bilteep	5	bil-teep	ear-?
keising	5	ke-ising	foot-?
vapi	5	va-pi	go.and-?
thuktum	5	thu-ktum	word-?
koihcip	5	koih-cip	put-?
kizatna	5	kizat-na	?-NMLZ
luakhia	5	lu-akhia	head-?
vaksuk	5	vak-suk	walk-?
saan	5	sa-an	flesh-?
siangthosakpa	5	siangtho-sakpa	holy-?
tunsakna	5	tunsak-na	?-NMLZ
pote	5	po-te	?-PL
cisa	5	ci-sa	say-?
namtuite	5	na-mtui-te	2SG-?-PL
gamkhingin	5	gam-khingin	land-?
niamkhiatin	5	ni-amkhiatin	day-?
pulepate	5	pulepa-te	?-PL
kisehna	5	kiseh-na	?-NMLZ
gamhluahna	5	gam-hluah-na	land-?-NMLZ
abidan	5	a-bidan	3SG-?
ammishaddai	5	a-mmishaddai	3SG-?
pagiel	5	pa-giel	father-?
enan	5	en-an	look-?
ahira	5	a-hi-ra	3SG-be-?
behbeh	5	beh-beh	tribe-?
thuahin	5	thu-ahin	word-?
miphakte	5	mi-phak-te	person-?-PL
veivei	5	ve-ivei	do-?
gamtatin	5	gam-tatin	land-?
painasa	5	pai-nasa	go-?
seppih	5	sep-pih	work-?
arad	5	a-rad	3SG-?
samsiatsak	5	sam-siatsak	call-?
pialin	5	pia-lin	give-?
sawlteng	5	sawl-teng	send-?
galmuh	5	galm-uh	?-PL
kalun	5	ka-lu-n	1SG-head-?
aloes	5	a-loes	3SG-?
abarim	5	a-ba-rim	3SG-owe-?
nungakin	5	nung-akin	live-?
tuahna	5	tuah-na	?-NMLZ
gamhte	5	gam-h-te	land-?-PL
khapa	5	kha-pa	spirit-?
theihsak	5	theih-sak	know.II-?
aituam	5	a-it-uam	3SG-love-?
nangawnun	5	na-nga-wnun	2SG-endure-?
khap	5	kha-p	spirit-?
satsak	5	sat-sak	strike-?
maiman	5	mai-man	face-?
matsak	5	mat-sak	grasp-?
cikzethuai	5	ci-kzethuai	say-?
mittawtna	5	mittaw-t-na	blind-?-NMLZ
nilohin	5	ni-lohin	day-?
dangtakna	5	dangtak-na	?-NMLZ
haksatnate	5	haksat-na-te	difficult-?-PL
zap	5	za-p	hear.I-?
thumong	5	thu-mong	word-?
kithatte	5	kithat-te	?-PL
kiseelte	5	kiseel-te	?-PL
nawtkhia	5	na-wtkhia	2SG-?
kiphumna	5	kiphum-na	?-NMLZ
akhor	5	a-kho-r	3SG-labor-?
gamtakha	5	gam-takha	land-?
paitohna	5	pai-toh-na	go-?-NMLZ
vankim	5	va-nkim	go.and-?
paupih	5	pau-pih	speak-?
baalah	5	ba-alah	owe-?
aksah	5	a-ksah	3SG-?
zanoah	5	za-noah	hear.I-?
nungkikin	5	nung-kikin	live-?
tehlop	5	teh-lop	measure-?
sepnop	5	sep-nop	work-?
damtakin	5	dam-takin	be.well-?
ginna	5	gin-na	?-NMLZ
hangte	5	hang-te	?-PL
zam	5	za-m	hear.I-?
pawm	5	pa-wm	father-?
top	5	to-p	sit-?
lungnuamsak	5	lung-nuamsak	feel-?
simmawhte	5	simmawh-te	?-PL
selkeu	5	sel-keu	slice-?
hihnu	5	hi-hnu	be-?
pawipuan	5	pa-wipuan	father-?
luai	5	lu-ai	head-?
naina	5	na-i-na	2SG-?-NMLZ
kumsim	5	kum-sim	year-?
sihsan	5	sih-san	die-?
maangmuh	5	maangm-uh	?-PL
maipuk	5	mai-puk	face-?
puato	5	pua-to	carry.on.back-?
thudong	5	thu-dong	word-?
lingsa	5	lin-gsa	hope-?
apin	5	a-pin	3SG-?
puaksak	5	pua-ksak	carry.on.back-?
sihtheih	5	sih-theih	die-?
kengin	5	ken-gin	only-?
thaltawite	5	thaltawi-te	?-PL
thupuak	5	thu-puak	word-?
genthang	5	gen-thang	speak-?
zahun	5	zah-un	fear-?
toi	5	to-i	sit-?
ahilud	5	a-hi-lud	3SG-be-?
mika	5	mi-ka	person-?
thulamlak	5	thu-lamlak	word-?
khutmeno	5	khut-meno	hand-?
khentel	5	khen-tel	divide-?
neizaw	5	nei-zaw	have-?
hatlua	5	hat-lua	strong-?
kawkbaang	5	ka-wkbaang	1SG-?
abishag	5	a-bishag	3SG-?
dotna	5	dot-na	?-NMLZ
panmunte	5	pa-nmun-te	father-?-PL
pilzaw	5	pil-zaw	learn-?
tokhia	5	to-khia	sit-?
meivakkhuamte	5	meivakkhuam-te	?-PL
thupalsatnate	5	thu-palsatna-te	word-?-PL
cingsing	5	ci-ngsing	say-?
vangikpi	5	va-ngikpi	go.and-?
lingnei	5	lin-gnei	hope-?
kiheina	5	kihei-na	?-NMLZ
akte	5	a-k-te	3SG-?-PL
zahpihin	5	zah-pihin	fear-?
namsaute	5	na-msau-te	2SG-?-PL
pailai	5	pai-lai	go-?
nimshi	5	ni-mshi	day-?
maikhingin	5	mai-khingin	face-?
khenaanah	5	khen-aanah	divide-?
sampa	5	sam-pa	call-?
sawnkhia	5	sa-wnkhia	flesh-?
mattheih	5	mat-theih	grasp-?
hingmat	5	hi-ngmat	be-?
kipna	5	kip-na	?-NMLZ
thuciamteh	5	thu-ciamteh	word-?
kibatna	5	kibat-na	?-NMLZ
vankah	5	va-nkah	go.and-?
nul	5	nu-l	mother-?
ishi	5	i-shi	1PL.INCL-?
hattush	5	hat-tush	strong-?
hikiah	5	hi-kiah	be-?
amasai	5	a-masai	3SG-?
leenggahzute	5	leeng-gahzu-te	chariot-?-PL
mualkuam	5	mu-alkuam	see.I-?
mangbuhte	5	mangbuh-te	?-PL
sinna	5	sin-na	?-NMLZ
thutelna	5	thu-tel-na	word-?-NMLZ
tualte	5	tual-te	?-PL
piankhiatna	5	pia-nkhiat-na	give-?-NMLZ
sungnungte	5	sungnung-te	?-PL
lamlakte	5	lamlak-te	?-PL
kilamkikna	5	kilamkik-na	?-NMLZ
tuinakte	5	tui-nak-te	water-?-PL
kihhuainate	5	kihhuaina-te	?-PL
sumkem	5	sum-kem	money-?
zattu	5	za-ttu	hear.I-?
ater	5	a-ter	3SG-?
apte	5	a-p-te	3SG-?-PL
gamtatsiate	5	gam-tatsia-te	land-?-PL
maluk	5	mal-uk	be.dry-?
mualbo	5	mu-albo	see.I-?
mui	5	mu-i	see.I-?
gawpna	5	gawp-na	?-NMLZ
kikna	5	kik-na	?-NMLZ
zunekna	5	zunek-na	?-NMLZ
minthuhna	5	min-thuh-na	name-?-NMLZ
noptuamna	5	noptuam-na	?-NMLZ
bildad	5	bil-dad	ear-?
taiina	5	taii-na	?-NMLZ
tuamsak	5	tuam-sak	promise-?
tawldamna	5	tawldam-na	?-NMLZ
ciangtan	5	cian-gtan	announce-?
vaihawmnate	5	va-ihawmna-te	go.and-?-PL
nuamtuam	5	nuam-tuam	want-?
thangsiahna	5	thangsiah-na	?-NMLZ
nektum	5	nek-tum	eat.II-?
letkhiat	5	let-khiat	return-?
dangtakte	5	dangtak-te	?-PL
nopte	5	nop-te	?-PL
thungetnate	5	thu-ngetna-te	word-?-PL
khapi	5	kha-pi	spirit-?
lungno	5	lung-no	feel-?
honna	5	hon-na	?-NMLZ
paubaan	5	pau-baan	speak-?
mawhsaknate	5	mawhsakna-te	?-PL
seelna	5	seel-na	?-NMLZ
kisate	5	kisa-te	?-PL
suakkha	5	suak-kha	become-?
sasi	5	sa-si	flesh-?
henna	5	hen-na	?-NMLZ
linglawng	5	lin-glawng	hope-?
miphate	5	mi-pha-te	person-?-PL
lungngai	5	lung-ngai	feel-?
paunate	5	pau-na-te	speak-?-PL
belte	5	bel-te	?-PL
hingkhia	5	hi-ngkhia	be-?
kiphatna	5	kiphat-na	?-NMLZ
thutanna	5	thu-tan-na	word-?-NMLZ
mipha	5	mi-pha	person-?
ngakte	5	nga-k-te	endure-?-PL
kicinna	5	kicin-na	?-NMLZ
bilngong	5	bil-ngong	ear-?
kiuhkeuh	5	kiuhke-uh	?-PL
sumzuak	5	sum-zuak	money-?
kama	5	ka-ma	1SG-?
siklukhu	5	sik-lukhu	repent-?
kapte	5	ka-p-te	1SG-?-PL
lehdote	5	lehdo-te	?-PL
kisikcip	5	kisik-cip	repent-?
luangkhiasak	5	luang-khiasak	corpse-?
khawite	5	kha-wi-te	spirit-?-PL
dawibiate	5	dawibia-te	?-PL
nopsaknate	5	nopsakna-te	?-PL
hualte	5	hual-te	?-PL
theikungte	5	thei-kung-te	know.I-?-PL
kankan	5	ka-nkan	1SG-?
tokhomte	5	to-khom-te	sit-?-PL
sakpa	5	sak-pa	cause-?
pam	5	pa-m	father-?
kihilhna	5	kihilh-na	?-NMLZ
thuzuau	5	thu-zuau	word-?
citeng	5	ci-teng	say-?
hanciamte	5	hanciam-te	?-PL
nektawm	5	nek-tawm	eat.II-?
duhna	5	duh-na	?-NMLZ
ankuang	5	a-nkuang	3SG-?
muantheih	5	mu-antheih	see.I-?
hiathiat	5	hi-athiat	be-?
ngaihsutpi	5	ngaihsut-pi	consider-?
luhgawp	5	lu-hgawp	head-?
nuammawh	5	nuam-mawh	want-?
al	5	a-l	3SG-?
leengto	5	leeng-to	chariot-?
luak	5	lu-ak	head-?
lungdamzaw	5	lungdam-zaw	rejoice-?
muhthadahhuai	5	muh-thadahhuai	see.II-?
hilel	5	hi-lel	be-?
nik	5	ni-k	day-?
kidemna	5	kidem-na	?-NMLZ
kelkel	5	ke-lkel	foot-?
pona	5	po-na	?-NMLZ
sawtpekin	5	sa-wtpekin	flesh-?
shebna	5	sheb-na	?-NMLZ
zumhuaina	5	zumhuai-na	?-NMLZ
tangtunsak	5	tangtun-sak	arrive-?
theigahte	5	thei-gah-te	know.I-?-PL
masakna	5	masak-na	?-NMLZ
tektek	5	tek~tek	?~RED
hilhtel	5	hilh-tel	teach-?
paulamin	5	pau-lamin	speak-?
saltang	5	sa-ltang	flesh-?
kaihkhiat	5	ka-ihkhiat	1SG-?
galkapbu	5	galkap-bu	soldier-?
galkapbute	5	galkap-bu-te	soldier-?-PL
nungtalai	5	nung-talai	live-?
galdalna	5	galdal-na	?-NMLZ
pangpi	5	pa-ngpi	father-?
hilhkholh	5	hilh-kholh	teach-?
puanak	5	pua-nak	carry.on.back-?
huanna	5	huan-na	?-NMLZ
lungkimzo	5	lung-kimzo	feel-?
zawhgawp	5	zawh-gawp	be.able-?
inndeipi	5	i-nndeipi	1PL.INCL-?
tungnungah	5	tung-nungah	arrive-?
biakinntual	5	biakinn-tual	temple-?
ngahzah	5	ngah-zah	get-?
piaknop	5	piak-nop	give.to-?
thuthukpi	5	thu-thukpi	word-?
minambup	5	minam-bup	nation-?
umgui	5	um-gui	believe-?
sikkhaute	5	sik-khau-te	repent-?-PL
muhnop	5	muh-nop	see.II-?
zuipah	5	zui-pah	follow-?
alfeas	5	a-lfeas	3SG-?
zanuam	5	za-nuam	hear.I-?
tahumte	5	tahum-te	?-PL
ngahthei	5	ngah-thei	get-?
kineihkhemna	5	kineihkhem-na	?-NMLZ
sihkhawm	5	sih-khawm	die-?
nehcip	5	ne-hcip	eat-?
zuihtheih	5	zui-htheih	follow-?
amauteng	5	a-mauteng	3SG-?
neutung	5	ne-utung	eat-?
cihkhit	5	cih-khit	say.NOM-?
annas	5	a-nnas	3SG-?
zintunna	5	zi-ntun-na	wife-?-NMLZ
dingzia	5	ding-zia	stand-?
nikodemas	5	ni-kodemas	day-?
pamfilia	5	pa-mfilia	father-?
muatna	5	mu-at-na	see.I-?-NMLZ
thongcingte	5	thongcing-te	?-PL
italy	5	i-taly	1PL.INCL-?
artemis	5	a-rtemis	3SG-?
aristarkhas	5	a-ristarkhas	3SG-?
paitheih	5	pai-theih	go-?
khristianpihte	5	khristianpih-te	?-PL
namte	4	na-m-te	2SG-?-PL
ngahzaw	4	ngah-zaw	get-?
khopa	4	kho-pa	labor-?
luppihin	4	lup-pihin	bow.down-?
omden	4	om-den	exist-?
omto	4	om-to	exist-?
innsate	4	i-nnsa-te	1PL.INCL-?-PL
ararat	4	a-rarat	3SG-?
nimrod	4	ni-mrod	day-?
arvad	4	a-rvad	3SG-?
asshur	4	a-sshur	3SG-?
vaihawmte	4	va-ihawm-te	go.and-?-PL
khansung	4	kha-nsung	spirit-?
behpa	4	beh-pa	tribe-?
kimatna	4	kimat-na	?-NMLZ
minsa	4	min-sa	name-?
sawmlite	4	sa-wmli-te	flesh-?-PL
hoihkhop	4	hoih-khop	be.good-?
vangsak	4	va-ngsak	go.and-?
nakbah	4	na-kbah	2SG-?
taaute	4	taau-te	?-PL
ciahkhiasak	4	ciah-khiasak	return-?
kikhuhna	4	kikhuh-na	?-NMLZ
keturah	4	ke-turah	foot-?
mishma	4	mi-shma	person-?
sabet	4	sa-bet	flesh-?
tungtangah	4	tung-tangah	arrive-?
tuto	4	tut-o	sleep-?
kikokhia	4	kiko-khia	cry.out-?
pungsakin	4	pung-sakin	increase-?
hiangpa	4	hi-angpa	be-?
ciangkhutte	4	cian-gkhut-te	announce-?-PL
sawmvei	4	sa-wmvei	flesh-?
gamdangmi	4	gam-dang-mi	land-?-NMLZ.AG
kitenna	4	kiten-na	?-NMLZ
bilhan	4	bil-han	ear-?
samlah	4	sam-lah	call-?
bansau	4	ba-nsau	owe-?
zasakkik	4	za-sakkik	hear.I-?
puaksuk	4	pua-ksuk	carry.on.back-?
lungkimhuai	4	lung-kimhuai	feel-?
mette	4	met-te	?-PL
siatloh	4	siat-loh	spoil-?
zuisuk	4	zui-suk	follow-?
ciahpihkik	4	ciah-pihkik	return-?
nekkhawm	4	nek-khawm	eat.II-?
ashbel	4	a-shbel	3SG-?
ard	4	a-rd	3SG-?
maimawk	4	mai-mawk	face-?
khanghamna	4	khang-ham-na	generation-?-NMLZ
puansilhte	4	pua-nsilh-te	carry.on.back-?-PL
suakkhiasak	4	suak-khiasak	become-?
thuum	4	thu-um	word-?
hihkha	4	hi-hkha	be-?
mapite	4	mapi-te	?-PL
nefeg	4	ne-feg	eat-?
assir	4	a-ssir	3SG-?
mekna	4	mek-na	?-NMLZ
ngette	4	nget-te	?-PL
luan	4	lu-an	head-?
khal	4	kha-l	spirit-?
phunnate	4	phunna-te	?-PL
kaikhawmte	4	ka-ikhawm-te	1SG-?-PL
sansak	4	sa-nsak	flesh-?
puakpih	4	pua-kpih	carry.on.back-?
tatkhiat	4	tat-khiat	strike-?
hawmguak	4	hawm-guak	join-?
kikihtakna	4	kikihtak-na	?-NMLZ
kuangdaite	4	kuangdai-te	?-PL
kilhna	4	kilh-na	?-NMLZ
kaisuk	4	ka-isuk	1SG-?
gakna	4	gak-na	?-NMLZ
mohte	4	moh-te	?-PL
mohphengte	4	mohpheng-te	?-PL
iikte	4	i-ik-te	1PL.INCL-?-PL
sai	4	sa-i	flesh-?
supna	4	sup-na	?-NMLZ
puankhaite	4	pua-nkhai-te	carry.on.back-?-PL
zungbuhte	4	zungbuh-te	?-PL
zahval	4	zah-val	fear-?
kikhaite	4	kikhai-te	?-PL
kizutna	4	kizut-na	?-NMLZ
kisimna	4	kisim-na	?-NMLZ
sikbeel	4	sik-beel	repent-?
kibuakna	4	kibuak-na	?-NMLZ
nengniamin	4	ne-ngniamin	eat-?
khamvalte	4	kham-val-te	forbid-?-PL
pheite	4	phei-te	?-PL
mualin	4	mu-alin	see.I-?
kimkhatte	4	kimkhat-te	?-PL
zawk	4	za-wk	hear.I-?
themte	4	them-te	?-PL
azazel	4	a-za-zel	3SG-hear.I-?
maisiat	4	mai-siat	face-?
namdang	4	na-mdang	2SG-?
kholhna	4	kho-lh-na	labor-?-NMLZ
vankahte	4	va-nkah-te	go.and-?-PL
behlapin	4	beh-lapin	tribe-?
kikhopnate	4	kikhopna-te	?-PL
nekha	4	nek-ha	eat.II-?
khamtakun	4	kham-takun	forbid-?
khualmipa	4	khua-lmipa	town-?
kipiate	4	kipia-te	?-PL
pawmsak	4	pa-wmsak	father-?
lungnem	4	lung-nem	feel-?
kumsukin	4	kum-sukin	year-?
tawpun	4	tawp-un	end-?
ahiman	4	a-hi-man	3SG-be-?
phunsanna	4	phunsan-na	?-NMLZ
piakkhawm	4	piak-khawm	give.to-?
theihkim	4	theih-kim	know.II-?
hingtangin	4	hi-ngtangin	be-?
nekpih	4	nek-pih	eat.II-?
vute	4	vu-te	?-PL
kantansak	4	ka-ntansak	1SG-?
khantawnin	4	kha-ntawnin	spirit-?
gamsial	4	gam-sial	land-?
huante	4	huan-te	?-PL
pailetin	4	pai-letin	go-?
nemuel	4	ne-muel	eat-?
asriel	4	a-sriel	3SG-?
tamte	4	tam-te	?-PL
ataroth	4	a-taroth	3SG-?
tuukhawkte	4	tuukhawk-te	?-PL
bukki	4	buk-ki	ambush-?
khuai	4	khua-i	town-?
kedemoth	4	ke-demoth	foot-?
argob	4	a-rgob	3SG-?
salekah	4	sa-lekah	flesh-?
thahatnate	4	thahatna-te	?-PL
hilhsawn	4	hilh-sawn	teach-?
sumsan	4	sum-san	money-?
khauhna	4	kha-uh-na	spirit-?-NMLZ
sangpente	4	sang-pen-te	high-?-PL
minsia	4	min-sia	name-?
khutsiampa	4	khut-siampa	hand-?
lakkhial	4	lak-khial	take-?
thukhualna	4	thu-khual-na	word-?-NMLZ
kimante	4	kiman-te	?-PL
ngaihsutzaw	4	ngaihsut-zaw	consider-?
bualtuite	4	bualtui-te	?-PL
khiatsuk	4	khia-tsuk	exit-?
suksiatmang	4	suk-siatmang	make.become-?
kizomte	4	kizom-te	?-PL
khaisuk	4	khai-suk	hold-?
piau	4	pia-u	give-?
paatsa	4	pa-atsa	father-?
bawltheih	4	bawl-theih	make-?
puakte	4	pua-k-te	carry.on.back-?-PL
lungsimtak	4	lung-simtak	feel-?
enrogel	4	en-rogel	look-?
ashan	4	a-shan	3SG-?
akzib	4	a-kzib	3SG-?
naarah	4	na-arah	2SG-?
ibleam	4	i-bleam	1PL.INCL-?
zawhsa	4	zawh-sa	be.able-?
kigelhte	4	kigelh-te	?-PL
paikhawmin	4	pai-khawmin	go-?
abinoam	4	a-binoam	3SG-?
kizemte	4	kizem-te	?-PL
tupna	4	tup-na	?-NMLZ
galpanna	4	galpan-na	?-NMLZ
tomin	4	to-min	sit-?
tob	4	to-b	sit-?
thuksak	4	thu-ksak	word-?
sawkin	4	sa-wkin	flesh-?
ciahsan	4	ciah-san	return-?
meite	4	mei-te	?-PL
ziau	4	zi-au	wife-?
omsakin	4	om-sakin	exist-?
guallelhna	4	guallelh-na	?-NMLZ
lausakin	4	lau-sakin	fear-?
thukhenin	4	thu-khenin	word-?
kuanna	4	kuan-na	?-NMLZ
sattuk	4	sat-tuk	strike-?
malkhishua	4	mal-khishua	be.dry-?
pawlbawl	4	pa-wlbawl	father-?
suanglotna	4	suanglot-na	?-NMLZ
liamte	4	liam-te	?-PL
neihlam	4	neih-lam	have.II-?
ngamin	4	nga-min	endure-?
hihlo	4	hi-hlo	be-?
cilphuan	4	ci-lphuan	say-?
tong	4	to-ng	sit-?
ciahkhiat	4	ciah-khiat	return-?
pusuahna	4	pusuah-na	?-NMLZ
ciap	4	ci-ap	say-?
baalperazim	4	ba-alperazim	owe-?
lungli	4	lung-li	feel-?
saki	4	sak-i	cause-?
neuno	4	ne-uno	eat-?
lumsak	4	lum-sak	warm-?
khuanawl	4	khua-nawl	town-?
ngap	4	nga-p	endure-?
abelbethmaakah	4	a-belbethmaakah	3SG-?
siamgante	4	siam-gan-te	be.skilled-?-PL
amte	4	a-m-te	3SG-?-PL
kawk	4	ka-wk	1SG-?
thukawi	4	thu-kawi	word-?
kalsuan	4	ka-lsuan	1SG-?
dimna	4	dim-na	?-NMLZ
ithri	4	i-thri	1PL.INCL-?
pakpalhte	4	pa-kpalh-te	father-?-PL
daupaina	4	daupai-na	?-NMLZ
bangkik	4	ba-ngkik	owe-?
vawhsak	4	va-whsak	go.and-?
sawmsimin	4	sa-wmsimin	flesh-?
thukante	4	thu-kan-te	word-?-PL
liahna	4	liah-na	?-NMLZ
imlah	4	i-mlah	1PL.INCL-?
azubah	4	a-zubah	3SG-?
baalzebub	4	ba-alzebub	owe-?
leibatna	4	leibat-na	?-NMLZ
hinkiksak	4	hi-nkiksak	be-?
mate	4	mat-e	grasp-?
laktheih	4	lak-theih	take-?
semzaw	4	sem-zaw	serve-?
sehkhatte	4	sehkhat-te	?-PL
suangseekte	4	suangseek-te	?-PL
satpukin	4	sat-pukin	strike-?
bukno	4	buk-no	ambush-?
hilhkholhnate	4	hilh-kholhna-te	teach-?-PL
heina	4	hei-na	?-NMLZ
khankhit	4	kha-nkhit	spirit-?
baladan	4	ba-ladan	owe-?
sungte	4	sung-te	?-PL
kamsangnu	4	ka-msangnu	1SG-?
genkholhsa	4	gen-kholhsa	speak-?
attai	4	a-ttai	3SG-?
keeksak	4	ke-eksak	foot-?
paseah	4	pa-seah	father-?
abishua	4	a-bishua	3SG-?
alemeth	4	a-lemeth	3SG-?
arah	4	a-rah	3SG-?
siktukkilh	4	sik-tukkilh	repent-?
mijamin	4	mi-jamin	person-?
kipakna	4	kipak-na	?-NMLZ
zato	4	za-to	hear.I-?
khotakin	4	kho-takin	labor-?
laigelhte	4	laigelh-te	?-PL
nautang	4	na-utang	2SG-?
azgad	4	a-zgad	3SG-?
adin	4	a-din	3SG-?
nekoda	4	nek-oda	eat.II-?
tattenai	4	tat-tenai	strike-?
siksan	4	sik-san	repent-?
khasak	4	kha-sak	spirit-?
khamseek	4	kham-seek	forbid-?
sawlbuk	4	sawl-buk	send-?
singhiangte	4	singhiang-te	?-PL
uksawnte	4	uk-sawn-te	rule-?-PL
kisimmawhna	4	kisimmawh-na	?-NMLZ
atte	4	a-t-te	3SG-?-PL
hathak	4	hat-hak	strong-?
gentelna	4	gen-tel-na	speak-?-NMLZ
dawnkikna	4	dawnkik-na	?-NMLZ
ciahpah	4	ciah-pah	return-?
thupite	4	thu-pi-te	word-?-PL
khuisatna	4	khuisat-na	?-NMLZ
lunghiang	4	lung-hiang	feel-?
dahte	4	dah-te	?-PL
lunggimna	4	lung-gim-na	feel-?-NMLZ
zanglo	4	zang-lo	use-?
sazang	4	sa-zang	flesh-?
baihta	4	ba-ihta	owe-?
banzo	4	ba-nzo	owe-?
lungzin	4	lung-zin	feel-?
dingpi	4	ding-pi	stand-?
suksuk	4	suk-suk	make.become-?
cimang	4	cim-ang	pierce-?
ngahnop	4	ngah-nop	get-?
hiat	4	hi-at	be-?
alna	4	a-l-na	3SG-?-NMLZ
ciim	4	ci-im	say-?
lumletin	4	lum-letin	warm-?
vapite	4	va-pi-te	go.and-?-PL
omkhong	4	om-khong	exist-?
hihzawh	4	hi-hzawh	be-?
veva	4	ve-va	do-?
hate	4	hat-e	strong-?
nungzang	4	nung-zang	live-?
tehpih	4	teh-pih	measure-?
pakpak	4	pa-kpak	father-?
nainai	4	na-inai	2SG-?
thahnopna	4	thahnop-na	?-NMLZ
tautauna	4	tautau-na	?-NMLZ
zamin	4	za-min	hear.I-?
zawhsak	4	zawh-sak	be.able-?
vaihawmin	4	va-ihawmin	go.and-?
khuainun	4	khua-inun	town-?
kiliansakte	4	kiliansak-te	?-PL
cihcih	4	cih-cih	say.NOM-?
minthannate	4	minthan-na-te	bless-?-PL
khute	4	khut-e	hand-?
mialna	4	mi-al-na	person-?-NMLZ
sawtpek	4	sa-wtpek	flesh-?
meiipite	4	meiipi-te	?-PL
hatpen	4	hat-pen	strong-?
luituite	4	lu-itui-te	head-?-PL
guntuite	4	guntui-te	?-PL
ciamzo	4	ci-amzo	say-?
paihsak	4	pai-hsak	go-?
neikha	4	nei-kha	have-?
huihte	4	huih-te	?-PL
muala	4	mu-ala	see.I-?
muantaak	4	mu-antaak	see.I-?
thuciamnasa	4	thuciamna-sa	promise-?
pialsak	4	pia-lsak	give-?
khialhkhak	4	khial-hkhak	err-?
paunakte	4	pau-nak-te	speak-?-PL
muhtangpi	4	muh-tangpi	see.II-?
awkna	4	a-wk-na	3SG-?-NMLZ
sutte	4	sut-te	?-PL
sinkhamna	4	sinkham-na	?-NMLZ
ansalte	4	a-nsal-te	3SG-?-PL
kihilhnate	4	kihilhna-te	?-PL
paikha	4	pai-kha	go-?
neihlelam	4	neih-lelam	have.II-?
awkpih	4	a-wkpih	3SG-?
teiteite	4	teitei-te	?-PL
kipelhna	4	kipelh-na	?-NMLZ
nemin	4	ne-min	eat-?
haitatna	4	haitat-na	?-NMLZ
cikha	4	ci-kha	say-?
sikseekpa	4	sik-seekpa	repent-?
zuihnop	4	zui-hnop	follow-?
niamkhiatna	4	ni-amkhiat-na	day-?-NMLZ
bawhkhiat	4	ba-whkhiat	owe-?
theikhia	4	thei-khia	know.I-?
hithiatna	4	hi-thiat-na	be-?-NMLZ
bangbangun	4	ba-ngbangun	owe-?
khataang	4	kha-taang	spirit-?
taangte	4	taang-te	?-PL
hiuhiau	4	hi-uhiau	be-?
samphekte	4	sam-phek-te	call-?-PL
saledi	4	sa-ledi	flesh-?
ngaihnop	4	ngaih-nop	listen.II-?
nard	4	na-rd	2SG-?
heuhna	4	heuh-na	?-NMLZ
niamin	4	ni-amin	day-?
lunggimsak	4	lung-gimsak	feel-?
lungkiatna	4	lung-kiat-na	feel-?-NMLZ
sawk	4	sa-wk	flesh-?
zingsol	4	zi-ngsol	wife-?
leite	4	lei-te	?-PL
piantheih	4	pia-ntheih	give-?
hunhunin	4	hun-hunin	time-?
tangmite	4	tangmi-te	?-PL
nuhsak	4	nu-hsak	mother-?
cilin	4	ci-lin	say-?
paiziate	4	pai-zia-te	go-?-PL
ipcip	4	i-pcip	1PL.INCL-?
mualsangte	4	mu-alsang-te	see.I-?-PL
zapsiang	4	za-psiang	hear.I-?
mutna	4	mu-t-na	see.I-?-NMLZ
lungmangin	4	lung-mangin	feel-?
gamsai	4	gam-sai	land-?
thupiteng	4	thu-piteng	word-?
patauhna	4	pa-tauh-na	father-?-NMLZ
saltanna	4	sa-ltan-na	flesh-?-NMLZ
