surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
vui	vui	vui		dust	vui		UNK		high	01023002	99	pos_unknown	needs_review
phatna	phatna	phat-na	Phatna	praise-NMLZ	phat	Phatna	V	PROP	high	02015001	98	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
Samaria	samaria	Samaria	Samaria'	SAMARIA	Samaria	samaria	PROP	UNK	high	11013032	97	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
tuite	tuite	tui-te	tuite'	water-PL	tui	tuite	N	UNK	high	01001007	96	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
kipte	kipte	kip-te		edge-PL	kip		UNK		high	02015026	96	pos_unknown	needs_review
Elijah	elijah	Elijah	Elijah'	ELIJAH	Elijah	elijah	PROP	UNK	high	11017001	96	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
makaite	makaite	makai-te	makaite'	leader-PL	makai	makaite	N	UNK	high	02015015	95	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
mel	mel	mel		void	mel		UNK		high	01012014	94	pos_unknown	needs_review
Ahab	ahab	Ahab	Ahab'	AHAB	Ahab	ahab	PROP	UNK	high	11016028	93	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
mong	mong	mong	Mong	hem	mong		UNK		high	02025018	92	multi_segmentation:2|pos_unknown	needs_review
khatvei	khatvei	khat-vei	Khatvei	one-time	khat	Khatvei	N	PROP	high	01018032	91	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
mawk	mawk	mawk		perhaps	mawk		UNK		high	01008021	90	pos_unknown	needs_review
siate	siate	sia-te	siate'	evil-PL	sia	siate	N	UNK	high	05007015	89	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
khuasung	khuasung	khua-sung	Khuasung	town-inside	khua	Khuasung	N	PROP	high	05012012	89	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Amor	amor	Amor	Amor'	AMOR	Amor	amor	PROP	UNK	high	01010016	88	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Reuben	reuben	Reuben	Reuben'	REUBEN	Reuben	reuben	PROP	UNK	high	01029032	87	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
mihaite	mihaite	mihai-te	Mihaite|Mihaite'|mihaite'	wise-PL	mihai	Mihaite|mihaite	N	PROP|UNK	high	18011012	87	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
dan	dan	dan	Dan|Dan'	manner	dan	Dan	UNK	PROP	high	01006015	86	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
khau	khau	khau		rope	khau		UNK		high	01014023	86	pos_unknown	needs_review
peuh	peuh	peuh	peuh'	every	peuh		UNK		high	01017018	86	multi_segmentation:2|pos_unknown	needs_review
mawhsak	mawhsak	mawhsak		adversary	mawhsak		UNK		high	02022009	86	pos_unknown	needs_review
mipilte	mipilte	mipil-te	Mipilte'|mipilte'	wise.person-PL	mipil	mipilte	N	UNK	high	02007011	85	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
Jehoshafat	jehoshafat	Jehoshafat	Jehoshafat'	JEHOSHAFAT	Jehoshafat	jehoshafat	PROP	UNK	high	10008016	85	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
neite	neite	nei-te	neite'	have-PL	nei	neite	V	UNK	high	01001030	84	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
leilakah	leilakah	leilak-ah		ground-LOC	leilak		UNK		high	01006020	84	pos_unknown	needs_review
Ai	ai	Ai	ai	AI	Ai	ai	PROP	N	high	01012008	84	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Nebukhadnezzar	nebukhadnezzar	Nebukhadnezzar	Nebukhadnezzar'	NEBUKHADNEZZAR	Nebukhadnezzar	nebukhadnezzar	PROP	UNK	high	12024001	84	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
khuadak	khuadak	khua-dak	Khuadak	town-near	khua	Khuadak	N	PROP	high	01008013	82	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
zia	zia	zia	Zia	manner	zia	Zia	UNK	PROP	high	01024049	82	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
nopsakna	nopsakna	nop-sak-na	Nopsakna	want-CAUS-NMLZ	nop	Nopsakna	V	PROP	high	03026006	82	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
salin	salin	sa-lin	Salin	meat-hope	sa	Salin	N	PROP	high	01014014	81	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Gad	gad	Gad	Gad'	GAD	Gad	gad	PROP	UNK	high	01030011	81	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
sakolte	sakolte	sakol-te	Sakolte|sakolte'	donkey-PL	sakol	Sakolte|sakolte	N	PROP|UNK	high	01047017	81	multi_segmentation:3|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
sanggamnu	sanggamnu	sanggam-nu	Sanggamnu|sanggam-nu'	sibling-female	sanggam	Sanggamnu	N	PROP	high	01004022	80	multi_segmentation:3|multi_lemma:2|multi_pos:N|PROP	needs_review
khan	khan	khan		generation	khan		UNK		high	01005008	80	pos_unknown	needs_review
paktat	paktat	paktat		fornication	paktat		UNK		high	01034031	79	pos_unknown	needs_review
misite	misite	misite'	Misite'|misi-te	dead-PL.POSS	misite	misi	UNK	N	high	03021003	79	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK|pos_unknown	needs_review
kipat	kipat	ki-pat		beginning	pat		UNK		high	01001001	78	pos_unknown	needs_review
bu	bu	bu		heap	bu		UNK		high	01003008	78	pos_unknown	needs_review
pak	pak	pak		divide	pak		UNK		high	01019009	78	pos_unknown	needs_review
gamtatnate	gamtatnate	gamtatna-te	gamtatnate'	kingdom-PL	gamtatna	gamtatnate	N	UNK	high	01037002	78	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
puk	puk	puk		attack	puk		UNK		high	01050018	78	pos_unknown	needs_review
naungek	naungek	nau-ngek	Naungek|nau-ngek'	child-small	nau	Naungek	V	PROP	high	02001016	78	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|V	needs_review
dawi	dawi	dawi		fear	dawi		UNK		high	14011013	78	pos_unknown	needs_review
ma	ma	ma		alone	ma		UNK		high	01013010	77	pos_unknown	needs_review
lehdo	lehdo	lehdo		rebellious	lehdo		UNK		high	01014004	77	pos_unknown	needs_review
vengte	vengte	veng-te	vengte'	neighborhood-PL	veng	vengte	V	UNK	high	02003022	77	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
khuam	khuam	khuam		darkness	khuam		UNK		high	01019026	76	pos_unknown	needs_review
pasalte	pasalte	pasal-te	pasalte'	husband-PL	pasal	pasalte	N	UNK	high	01020014	76	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
taang	taang	taang		beautiful	taang		UNK		high	02015016	76	pos_unknown	needs_review
nungzui	nungzui	nungzui		disciple	nungzui		UNK		high	05011028	76	pos_unknown	needs_review
Eleazar	eleazar	Eleazar	Eleazar'	ELEAZAR	Eleazar	eleazar	PROP	UNK	high	02006023	75	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Simon	simon	Simon	Simon'	SIMON	Simon	simon	PROP	UNK	high	40004018	75	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
vasate	vasate	va-sa-te	vasate'	go.and-PAST-PL	va	vasate	V	UNK	high	01001020	74	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
gamh	gamh	gamh		land.II	gamh		UNK		high	01015003	74	pos_unknown	needs_review
sawh	sawh	sawh		correct	sawh		UNK		high	01019003	74	pos_unknown	needs_review
kamtaite	kamtaite	kamtai-te	Kamtaite|kamtaite'	messenger-PL	kamtai	Kamtaite|kamtaite	N	PROP|UNK	high	01032003	74	multi_segmentation:3|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
sal	sal	sal		slave	sal		UNK		high	02006006	74	pos_unknown	needs_review
omte	omte	om-te	omte'	exist-PL	om	omte	V	UNK	high	01002001	73	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
ging	ging	ging		sound	ging		UNK		high	01003008	73	pos_unknown	needs_review
phetin	phetin	phet-in		twin-ERG	phet		UNK		high	01027030	73	pos_unknown	needs_review
zin	zin	zin	Zin	travel	zin	Zin	UNK	PROP	high	01041045	73	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
kihel	kihel	ki-hel		REFL-hell	hel		UNK		high	01049006	73	pos_unknown	needs_review
buppi	buppi	bup-pi	bup-pi'	all-big	bup		UNK		high	01009019	72	multi_segmentation:2|pos_unknown	needs_review
gei	gei	gei		edge	gei		UNK		high	01016007	72	pos_unknown	needs_review
kangtum	kangtum	kang-tum		burn-all	kang		UNK		high	01019015	72	pos_unknown	needs_review
dum	dum	dum		siege.mound	dum		UNK		high	01037020	72	pos_unknown	needs_review
nopna	nopna	nop-na	Nopna	want-NMLZ	nop	Nopna	V	PROP	high	02008015	72	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
kan	kan	kan	kan'	stay	kan		UNK		high	02018015	72	multi_segmentation:2|pos_unknown	needs_review
vai	vai	vai		foreigner	vai		UNK		high	02025010	72	pos_unknown	needs_review
sawltakte	sawltakte	sawl-tak-te	sawltakte'	send-exact-PL	sawl	sawltakte	V	UNK	high	06007022	72	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
kungte	kungte	kung-te	kungte'	trunk-PL	kung	kungte	UNK		high	01001011	71	multi_segmentation:2|multi_lemma:2|pos_unknown	needs_review
kivui	kivui	ki-vui		bury	vui		UNK		high	01015015	71	pos_unknown	needs_review
tuuhonte	tuuhonte	tuuhon-te	Tuuhonte'|tuuhonte'	poor.person-PL	tuuhon	tuuhonte	N	UNK	high	01029002	71	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
koi-ah	koi-ah	koi-ah	Koi-ah	where-LOC	koi	Koi-Ah	N	PROP	high	01004009	70	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
vekpi-un	vekpi-un	vek-pi-un		all-big-PL.IMP	vek		UNK		high	05001022	70	pos_unknown	needs_review
Zedekiah	zedekiah	Zedekiah	Zedekiah'	ZEDEKIAH	Zedekiah	zedekiah	PROP	UNK	high	11022011	70	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
zel	zel	zel		scatter	zel		UNK		high	01013007	69	pos_unknown	needs_review
Job	job	Job	Job'	JOB	Job	job	PROP	UNK	high	01046013	69	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Balaam	balaam	Balaam	Balaam'	BALAAM	Balaam	balaam	PROP	UNK	high	04022005	69	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Daniel	daniel	Daniel	Daniel'	DANIEL	Daniel	daniel	PROP	UNK	high	13003001	69	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
mihonpite	mihonpite	mihonpi-te	Mihonpite'|mihonpite'	noble-PL	mihonpi	mihonpite	N	UNK	high	02012041	68	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
Jehu	jehu	Jehu	Jehu'	JEHU	Jehu	jehu	PROP	UNK	high	11016001	68	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Pilat	pilat	Pilat	Pilat'	PILAT	Pilat	pilat	PROP	UNK	high	40027002	68	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kihhuai	kihhuai	ki-hhuai		REFL-abominate	hhuai		UNK		high	01043032	67	pos_unknown	needs_review
Puah	puah	Puah	Puah'|puah	PUAH	Puah	pua	PROP	V	high	02001015	67	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|V	needs_review
gilo	gilo	gilo	Gilo|Gilo'|gilo'	enemy	gilo	Gilo	UNK	PROP	high	02023007	67	multi_segmentation:4|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
cil	cil	cil		beginning	cil		UNK		high	03015008	67	pos_unknown	needs_review
mualtungah	mualtungah	mual-tung-ah	Mualtungah	mountain-top-LOC	mual	Mualtungah	N	PROP	high	01008004	66	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
kang	kang	kang		suffer	kang		UNK		high	01030035	66	pos_unknown	needs_review
kim	kim	kim		nation	kim		UNK		high	06021045	66	pos_unknown	needs_review
sagihte	sagihte	sagih-te	sagihte'	seven-PL	sagih	sagihte	N	UNK	high	01021029	65	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
dah	dah	dah	Dah	put	dah		UNK		high	01027041	65	multi_segmentation:2|pos_unknown	needs_review
innkuante	innkuante	innkuante'	inn-kuan-te	household-PL.POSS	innkuante	inn	UNK	N	high	01033019	65	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK|pos_unknown	needs_review
Abimelek	abimelek	Abimelek	Abimelek'	ABIMELEK	Abimelek	abimelek	PROP	UNK	high	01020002	64	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Mary	mary	Mary'	Mary	MARY.POSS	mary	Mary	UNK	PROP	high	40001016	64	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
tunpih	tunpih	tun-pih		arrive-APPL	tun		UNK		high	01008011	63	pos_unknown	needs_review
Tangvalte	tangvalte	Tangvalte'	tangval-te|tangvalte'	youth-PL.POSS	tangvalte	tangval	UNK	V	high	01014024	63	multi_segmentation:3|multi_lemma:2|multi_pos:UNK|V|pos_unknown	needs_review
langpangin	langpangin	langpang-in		against-ERG	langpang		UNK		high	01016012	63	pos_unknown	needs_review
nai-ah	nai-ah	nai-ah		near-LOC	nai		UNK		high	01027021	63	pos_unknown	needs_review
lohin	lohin	loh-in		NEG-ERG	loh		UNK		high	01034025	63	pos_unknown	needs_review
Elisha	elisha	Elisha	Elisha'	ELISHA	Elisha	elisha	PROP	UNK	high	11019016	63	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kituakin	kituakin	kituak-in		find-ERG	kituak		UNK		high	01033014	62	pos_unknown	needs_review
Abner	abner	Abner	Abner'	ABNER	Abner	abner	PROP	UNK	high	09014050	62	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Mordekai	mordekai	Mordekai	Mordekai'	MORDEKAI	Mordekai	mordekai	PROP	UNK	high	15002002	62	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
launa	launa	lau-na	Launa	fear-NMLZ	lau	Launa	N	PROP	high	01031031	61	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
haksatna	haksatna	haksat-na	Haksatna	difficult-NMLZ	haksat	Haksatna	N	PROP	high	01034030	61	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
lite	lite	li-te	lite'	four-PL	li	lite	FUNC	UNK	high	02026032	61	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|UNK	needs_review
Kulhkongpi	kulhkongpi	kulh-kong-pi		gate-big	kulh		UNK		high	06002005	61	pos_unknown	needs_review
Isaiah	isaiah	Isaiah	Isaiah'	ISAIAH	Isaiah	isaiah	PROP	UNK	high	12019002	61	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Noah	noah	Noah	Noah'	NOAH	Noah	noah	PROP	UNK	high	01005029	60	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Abram	abram	Abram	Abram'	ABRAM	Abram	abram	PROP	UNK	high	01011026	60	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
teltakin	teltakin	tel-takin		each-really	tel		UNK		high	01026027	60	pos_unknown	needs_review
Asa	asa	Asa	Asa'	ASA	Asa	asa	PROP	UNK	high	11015008	60	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
suk	suk	suk		collapse	suk		UNK		high	01002007	59	pos_unknown	needs_review
kidawm	kidawm	ki-dawm	Kidawm	REFL-god	dawm	Kidawm	N	PROP	high	01031024	59	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Zekhariah	zekhariah	Zekhariah	Zekhariah'	ZEKHARIAH	Zekhariah	zekhariah	PROP	UNK	high	12014029	59	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Herod	herod	Herod	Herod'	HEROD	Herod	herod	PROP	UNK	high	40002001	59	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Kherub-te	kherub-te	kherub-te	Kherub-te'|kherub-te'	KHERUB-PL	kherub		UNK		high	01003024	58	multi_segmentation:3|pos_unknown	needs_review
neute	neute	neu-te	neute'	small-PL	neu	neute	N	UNK	high	01019011	58	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
bawngtalte	bawngtalte	bawng-tal-te	Bawngtalte|Bawngtalte'|bawngtalte'	cow-calf-PL	bawng	Bawngtalte|bawngtalte	N	PROP|UNK	high	01020014	58	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
guak	guak	guak		back	guak		UNK		high	01002018	57	pos_unknown	needs_review
Shekhem	shekhem	Shekhem	Shekhem'	SHEKHEM	Shekhem	shekhem	PROP	UNK	high	01012006	57	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kihei-in	kihei-in	ki-hei-in		REFL-angry-CVB	hei		UNK		high	01018022	57	pos_unknown	needs_review
lawn	lawn	lawn	lawn'	throw	lawn		UNK		high	01021015	57	multi_segmentation:2|pos_unknown	needs_review
Laban	laban	Laban	Laban'	LABAN	Laban	laban	PROP	UNK	high	01024029	57	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
bekbek	bekbek	bek~bek		alone~REDUP	bek~bek		UNK		high	01047009	57	pos_unknown	needs_review
Jerusalem-a	jerusalem-a	jerusalem-a	Jerusalem-a	JERUSALEM-LOC	jerusalem	Jerusalem-A	UNK	PROP	high	06015063	57	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
Jeremiah	jeremiah	Jeremiah'	Jeremiah	JEREMIAH.POSS	jeremiah	Jeremiah	UNK	PROP	high	12023031	57	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
ing	ing	ing		be.able	ing		UNK		high	01022007	56	pos_unknown	needs_review
Josiah	josiah	Josiah	Josiah'	JOSIAH	Josiah	josiah	PROP	UNK	high	11013002	56	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
gil	gil	gil	Gil	stomach	gil		UNK		high	01025023	55	multi_segmentation:2|pos_unknown	needs_review
naupangte	naupangte	nau-pang-te	Naupangte'|naupangte'	child-small-PL	nau	naupangte	N	UNK	high	01025027	55	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
lutangte	lutangte	lutang-te	lutangte'	chief-PL	lutang	lutangte	N	UNK	high	01036019	55	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
Satan	satan	Satan	Satan'	SATAN	Satan	satan	PROP	UNK	high	13021001	55	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
ei	ei	ei	ei'	1PL.EXCL	ei		UNK		high	01011004	54	multi_segmentation:2|pos_unknown	needs_review
Ishmael	ishmael	Ishmael	Ishmael'	ISHMAEL	Ishmael	ishmael	PROP	UNK	high	01016011	54	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
lau-in	lau-in	lau-in	Lau-in	fear-ERG	lau	Lau-In	N	PROP	high	01032007	54	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
lamdangte	lamdangte	lam-dang-te	lamdangte'	way-other-PL	lam	lamdangte	N	UNK	high	02003020	54	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
ki	ki	ki	Ki|ki'	REFL	ki		UNK		high	01021012	53	multi_segmentation:3|pos_unknown	needs_review
peek	peek	peek		breadth	peek		UNK		high	02025025	53	pos_unknown	needs_review
mualte	mualte	mual-te	Mualte'|mualte'	mountain-PL	mual	mualte	N	UNK	high	04023007	53	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
Jehoiada	jehoiada	Jehoiada'	Jehoiada	JEHOIADA.POSS	jehoiada	Jehoiada	UNK	PROP	high	10008018	53	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
theite	theite	thei-te	theite'	know.I-PL	thei	theite	V	UNK	high	12021006	53	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
Esther	esther	Esther	Esther'	ESTHER	Esther	esther	PROP	UNK	high	17002007	53	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
siangthote	siangthote	siangtho-te	siangthote'	holy-PL	siangtho	siangthote	N	UNK	high	01007008	52	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
Damaskas	damaskas	Damaskas	Damaskas'	DAMASKAS	Damaskas	damaskas	PROP	UNK	high	01014015	52	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
phual	phual	phual		field	phual		UNK		high	01025016	52	pos_unknown	needs_review
kimaisak	kimaisak	ki-maisak		appear	maisak		UNK		high	03004020	52	pos_unknown	needs_review
Zadok	zadok	Zadok	Zadok'	ZADOK	Zadok	zadok	PROP	UNK	high	10008017	52	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
gengen	gengen	gen~gen		speak~REDUP	gen~gen		UNK		high	05006007	51	pos_unknown	needs_review
“Kumpipa	“kumpipa	kumpi-pa	Kumpipa'	king-male	kumpi	kumpipa	N		high	07003019	51	multi_segmentation:2|multi_lemma:2	needs_review
Joash	joash	Joash	Joash'	JOASH	Joash	joash	PROP	UNK	high	07006011	51	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Rehoboam	rehoboam	Rehoboam	Rehoboam'	REHOBOAM	Rehoboam	rehoboam	PROP	UNK	high	11011043	51	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
teek	teek	teek		master	teek		UNK		high	01018011	50	pos_unknown	needs_review
“Ama	“ama	Ama		AMA	ama		UNK		high	01041038	50	pos_unknown	needs_review
Jessi	jessi	Jessi'	Jessi	JESSI.POSS	jessi	Jessi	UNK	PROP	high	08004017	50	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
Haman	haman	Haman	Haman'	HAMAN	Haman	haman	PROP	UNK	high	17003001	50	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
